run_id,condition,vuln_id,detected,app
Aprime4_WK,Aprime,V3,0,WarungKu
Aprime4_WK,Aprime,V4,0,WarungKu
Aprime4_WK,Aprime,V5,0,WarungKu
Aprime4_WK,Aprime,V6,1,WarungKu
Aprime4_WK,Aprime,V7,1,WarungKu
Aprime4_WK,Aprime,V8,0,WarungKu
Aprime4_WK,Aprime,V9,1,WarungKu
Aprime4_WK,Aprime,V10,0,WarungKu
Aprime4_WK,Aprime,V11,1,WarungKu
Aprime4_WK,Aprime,V12,1,WarungKu
Aprime4_WK,Aprime,V13,0,WarungKu
Aprime4_WK,Aprime,V14,0,WarungKu
Aprime4_WK,Aprime,V15,0,WarungKu
Aprime4_WK,Aprime,V16,0,WarungKu
Aprime4_WK,Aprime,V17,0,WarungKu
Aprime4_WK,Aprime,V18,0,WarungKu
Aprime5_WK,Aprime,V1,1,WarungKu
Aprime5_WK,Aprime,V2,1,WarungKu
Aprime5_WK,Aprime,V3,1,WarungKu
Aprime5_WK,Aprime,V4,0,WarungKu
Aprime5_WK,Aprime,V5,0,WarungKu
Aprime5_WK,Aprime,V6,1,WarungKu
Aprime5_WK,Aprime,V7,1,WarungKu
Aprime5_WK,Aprime,V8,0,WarungKu
Aprime5_WK,Aprime,V9,1,WarungKu
Aprime5_WK,Aprime,V10,0,WarungKu
Aprime5_WK,Aprime,V11,1,WarungKu
Aprime5_WK,Aprime,V12,0,WarungKu
Aprime5_WK,Aprime,V13,0,WarungKu
Aprime5_WK,Aprime,V14,0,WarungKu
Aprime5_WK,Aprime,V15,0,WarungKu
Aprime5_WK,Aprime,V16,0,WarungKu
Aprime5_WK,Aprime,V17,0,WarungKu
Aprime5_WK,Aprime,V18,0,WarungKu
B1_WK,B,V1,1,WarungKu
B1_WK,B,V2,1,WarungKu
B1_WK,B,V3,1,WarungKu
B1_WK,B,V4,1,WarungKu
B1_WK,B,V5,0,WarungKu
B1_WK,B,V6,1,WarungKu
B1_WK,B,V7,1,WarungKu
B1_WK,B,V8,0,WarungKu
B1_WK,B,V9,1,WarungKu
B1_WK,B,V10,0,WarungKu
B1_WK,B,V11,1,WarungKu
B1_WK,B,V12,0,WarungKu
B1_WK,B,V13,0,WarungKu
B1_WK,B,V14,0,WarungKu
B1_WK,B,V15,0,WarungKu
B1_WK,B,V16,0,WarungKu
B1_WK,B,V17,0,WarungKu
B1_WK,B,V18,0,WarungKu
B2_WK,B,V1,1,WarungKu
B2_WK,B,V2,1,WarungKu
B2_WK,B,V3,1,WarungKu
B2_WK,B,V4,1,WarungKu
B2_WK,B,V5,0,WarungKu
B2_WK,B,V6,1,WarungKu
B2_WK,B,V7,1,WarungKu
B2_WK,B,V8,0,WarungKu
B2_WK,B,V9,1,WarungKu
B2_WK,B,V10,0,WarungKu
B2_WK,B,V11,1,WarungKu
B2_WK,B,V12,0,WarungKu
B2_WK,B,V13,0,WarungKu
B2_WK,B,V14,0,WarungKu
B2_WK,B,V15,1,WarungKu
B2_WK,B,V16,1,WarungKu
B2_WK,B,V17,0,WarungKu
B2_WK,B,V18,1,WarungKu
B3_WK,B,V1,1,WarungKu
B3_WK,B,V2,1,WarungKu
B3_WK,B,V3,1,WarungKu
B3_WK,B,V4,1,WarungKu
B3_WK,B,V5,0,WarungKu
B3_WK,B,V6,1,WarungKu
B3_WK,B,V7,1,WarungKu
B3_WK,B,V8,0,WarungKu
B3_WK,B,V9,1,WarungKu
B3_WK,B,V10,0,WarungKu
B3_WK,B,V11,1,WarungKu
B3_WK,B,V12,0,WarungKu
B3_WK,B,V13,0,WarungKu
B3_WK,B,V14,0,WarungKu
B3_WK,B,V15,0,WarungKu
B3_WK,B,V16,0,WarungKu
B3_WK,B,V17,0,WarungKu
B3_WK,B,V18,0,WarungKu
B4_WK,B,V1,0,WarungKu
B4_WK,B,V2,1,WarungKu
B4_WK,B,V3,1,WarungKu
B4_WK,B,V4,1,WarungKu
B4_WK,B,V5,0,WarungKu
B4_WK,B,V6,0,WarungKu
B4_WK,B,V7,0,WarungKu
B4_WK,B,V8,0,WarungKu
B4_WK,B,V9,1,WarungKu
B4_WK,B,V10,0,WarungKu
B4_WK,B,V11,1,WarungKu
B4_WK,B,V12,0,WarungKu
B4_WK,B,V13,0,WarungKu
B4_WK,B,V14,0,WarungKu
B4_WK,B,V15,1,WarungKu
B4_WK,B,V16,0,WarungKu
B4_WK,B,V17,0,WarungKu
B4_WK,B,V18,1,WarungKu
B5_WK,B,V1,0,WarungKu
B5_WK,B,V2,1,WarungKu
B5_WK,B,V3,1,WarungKu
B5_WK,B,V4,0,WarungKu
B5_WK,B,V5,0,WarungKu
B5_WK,B,V6,1,WarungKu
B5_WK,B,V7,1,WarungKu
B5_WK,B,V8,0,WarungKu
B5_WK,B,V9,1,WarungKu
B5_WK,B,V10,0,WarungKu
B5_WK,B,V11,1,WarungKu
B5_WK,B,V12,0,WarungKu
B5_WK,B,V13,0,WarungKu
B5_WK,B,V14,0,WarungKu
B5_WK,B,V15,0,WarungKu
B5_WK,B,V16,0,WarungKu
B5_WK,B,V17,0,WarungKu
B5_WK,B,V18,1,WarungKu
C1_WK,C,V1,1,WarungKu
C1_WK,C,V2,1,WarungKu
C1_WK,C,V3,1,WarungKu
C1_WK,C,V4,1,WarungKu
C1_WK,C,V5,0,WarungKu
C1_WK,C,V6,1,WarungKu
C1_WK,C,V7,1,WarungKu
C1_WK,C,V8,0,WarungKu
C1_WK,C,V9,1,WarungKu
C1_WK,C,V10,0,WarungKu
C1_WK,C,V11,1,WarungKu
C1_WK,C,V12,1,WarungKu
C1_WK,C,V13,1,WarungKu
C1_WK,C,V14,1,WarungKu
C1_WK,C,V15,0,WarungKu
C1_WK,C,V16,1,WarungKu
C1_WK,C,V17,1,WarungKu
C1_WK,C,V18,1,WarungKu
C2_WK,C,V1,1,WarungKu
C2_WK,C,V2,1,WarungKu
C2_WK,C,V3,0,WarungKu
C2_WK,C,V4,1,WarungKu
C2_WK,C,V5,0,WarungKu
C2_WK,C,V6,1,WarungKu
C2_WK,C,V7,1,WarungKu
C2_WK,C,V8,0,WarungKu
C2_WK,C,V9,1,WarungKu
C2_WK,C,V10,1,WarungKu
C2_WK,C,V11,1,WarungKu
C2_WK,C,V12,1,WarungKu
C2_WK,C,V13,1,WarungKu
C2_WK,C,V14,1,WarungKu
C2_WK,C,V15,1,WarungKu
C2_WK,C,V16,1,WarungKu
C2_WK,C,V17,1,WarungKu
C2_WK,C,V18,0,WarungKu
C3_WK,C,V1,1,WarungKu
C3_WK,C,V2,1,WarungKu
C3_WK,C,V3,1,WarungKu
C3_WK,C,V4,1,WarungKu
C3_WK,C,V5,0,WarungKu
C3_WK,C,V6,1,WarungKu
C3_WK,C,V7,1,WarungKu
C3_WK,C,V8,0,WarungKu
C3_WK,C,V9,1,WarungKu
C3_WK,C,V10,0,WarungKu
C3_WK,C,V11,1,WarungKu
C3_WK,C,V12,0,WarungKu
C3_WK,C,V13,0,WarungKu
C3_WK,C,V14,1,WarungKu
C3_WK,C,V15,0,WarungKu
C3_WK,C,V16,1,WarungKu
C3_WK,C,V17,1,WarungKu
C3_WK,C,V18,0,WarungKu
C4_WK,C,V1,1,WarungKu
C4_WK,C,V2,1,WarungKu
C4_WK,C,V3,1,WarungKu
C4_WK,C,V4,1,WarungKu
C4_WK,C,V5,0,WarungKu
C4_WK,C,V6,1,WarungKu
C4_WK,C,V7,0,WarungKu
C4_WK,C,V8,1,WarungKu
C4_WK,C,V9,1,WarungKu
C4_WK,C,V10,0,WarungKu
C4_WK,C,V11,1,WarungKu
C4_WK,C,V12,1,WarungKu
C4_WK,C,V13,1,WarungKu
C4_WK,C,V14,1,WarungKu
C4_WK,C,V15,0,WarungKu
C4_WK,C,V16,1,WarungKu
C4_WK,C,V17,1,WarungKu
C4_WK,C,V18,1,WarungKu
C5_WK,C,V1,1,WarungKu
C5_WK,C,V2,1,WarungKu
C5_WK,C,V3,1,WarungKu
C5_WK,C,V4,1,WarungKu
C5_WK,C,V5,0,WarungKu
C5_WK,C,V6,1,WarungKu
C5_WK,C,V7,1,WarungKu
C5_WK,C,V8,0,WarungKu
C5_WK,C,V9,1,WarungKu
C5_WK,C,V10,0,WarungKu
C5_WK,C,V11,1,WarungKu
C5_WK,C,V12,1,WarungKu
C5_WK,C,V13,0,WarungKu
C5_WK,C,V14,1,WarungKu
C5_WK,C,V15,0,WarungKu
C5_WK,C,V16,1,WarungKu
C5_WK,C,V17,1,WarungKu
C5_WK,C,V18,1,WarungKu
A1_JS,A,JS-01,0,JuiceShop
A1_JS,A,JS-02,0,JuiceShop
A1_JS,A,JS-03,0,JuiceShop
A1_JS,A,JS-04,0,JuiceShop
A1_JS,A,JS-05,0,JuiceShop
A1_JS,A,JS-06,0,JuiceShop
A1_JS,A,JS-07,0,JuiceShop
A1_JS,A,JS-08,1,JuiceShop
A1_JS,A,JS-09,0,JuiceShop
A1_JS,A,JS-10,0,JuiceShop
A1_JS,A,JS-11,0,JuiceShop
A2_JS,A,JS-01,0,JuiceShop
A2_JS,A,JS-02,0,JuiceShop
A2_JS,A,JS-03,0,JuiceShop
A2_JS,A,JS-04,0,JuiceShop
A2_JS,A,JS-05,0,JuiceShop
A2_JS,A,JS-06,0,JuiceShop
A2_JS,A,JS-07,0,JuiceShop
A2_JS,A,JS-08,1,JuiceShop
A2_JS,A,JS-09,0,JuiceShop
A2_JS,A,JS-10,0,JuiceShop
A2_JS,A,JS-11,0,JuiceShop
A3_JS,A,JS-01,0,JuiceShop
A3_JS,A,JS-02,0,JuiceShop
A3_JS,A,JS-03,0,JuiceShop
A3_JS,A,JS-04,0,JuiceShop
A3_JS,A,JS-05,0,JuiceShop
A3_JS,A,JS-06,0,JuiceShop
A3_JS,A,JS-07,0,JuiceShop
A3_JS,A,JS-08,1,JuiceShop
A3_JS,A,JS-09,0,JuiceShop
A3_JS,A,JS-10,0,JuiceShop
A3_JS,A,JS-11,0,JuiceShop
A4_JS,A,JS-01,0,JuiceShop
A4_JS,A,JS-02,0,JuiceShop
A4_JS,A,JS-03,0,JuiceShop
A4_JS,A,JS-04,0,JuiceShop
A4_JS,A,JS-05,0,JuiceShop
A4_JS,A,JS-06,0,JuiceShop
A4_JS,A,JS-07,0,JuiceShop
A4_JS,A,JS-08,1,JuiceShop
A4_JS,A,JS-09,0,JuiceShop
A4_JS,A,JS-10,0,JuiceShop
A4_JS,A,JS-11,0,JuiceShop
A5_JS,A,JS-01,0,JuiceShop
A5_JS,A,JS-02,0,JuiceShop
A5_JS,A,JS-03,0,JuiceShop
A5_JS,A,JS-04,0,JuiceShop
A5_JS,A,JS-05,0,JuiceShop
A5_JS,A,JS-06,0,JuiceShop
A5_JS,A,JS-07,0,JuiceShop
A5_JS,A,JS-08,1,JuiceShop
A5_JS,A,JS-09,0,JuiceShop
A5_JS,A,JS-10,0,JuiceShop
A5_JS,A,JS-11,0,JuiceShop
Aprime1_JS,Aprime,JS-01,0,JuiceShop
Aprime1_JS,Aprime,JS-02,0,JuiceShop
Aprime1_JS,Aprime,JS-03,0,JuiceShop
Aprime1_JS,Aprime,JS-04,1,JuiceShop
Aprime1_JS,Aprime,JS-05,0,JuiceShop
Aprime1_JS,Aprime,JS-06,0,JuiceShop
Aprime1_JS,Aprime,JS-07,1,JuiceShop
Aprime1_JS,Aprime,JS-08,0,JuiceShop
Aprime1_JS,Aprime,JS-09,0,JuiceShop
Aprime1_JS,Aprime,JS-10,0,JuiceShop
Aprime1_JS,Aprime,JS-11,0,JuiceShop
Aprime2_JS,Aprime,JS-01,0,JuiceShop
Aprime2_JS,Aprime,JS-02,0,JuiceShop
Aprime2_JS,Aprime,JS-03,0,JuiceShop
Aprime2_JS,Aprime,JS-04,1,JuiceShop
Aprime2_JS,Aprime,JS-05,0,JuiceShop
Aprime2_JS,Aprime,JS-06,0,JuiceShop
Aprime2_JS,Aprime,JS-07,1,JuiceShop
Aprime2_JS,Aprime,JS-08,0,JuiceShop
Aprime2_JS,Aprime,JS-09,0,JuiceShop
Aprime2_JS,Aprime,JS-10,0,JuiceShop
Aprime2_JS,Aprime,JS-11,0,JuiceShop
Aprime3_JS,Aprime,JS-01,0,JuiceShop
Aprime3_JS,Aprime,JS-02,0,JuiceShop
Aprime3_JS,Aprime,JS-03,0,JuiceShop
Aprime3_JS,Aprime,JS-04,1,JuiceShop
Aprime3_JS,Aprime,JS-05,0,JuiceShop
Aprime3_JS,Aprime,JS-06,0,JuiceShop
Aprime3_JS,Aprime,JS-07,0,JuiceShop
Aprime3_JS,Aprime,JS-08,0,JuiceShop
Aprime3_JS,Aprime,JS-09,0,JuiceShop
Aprime3_JS,Aprime,JS-10,0,JuiceShop
Aprime3_JS,Aprime,JS-11,0,JuiceShop
Aprime4_JS,Aprime,JS-01,0,JuiceShop
Aprime4_JS,Aprime,JS-02,0,JuiceShop
Aprime4_JS,Aprime,JS-03,0,JuiceShop
Aprime4_JS,Aprime,JS-04,0,JuiceShop
Aprime4_JS,Aprime,JS-05,0,JuiceShop
Aprime4_JS,Aprime,JS-06,0,JuiceShop
Aprime4_JS,Aprime,JS-07,0,JuiceShop
Aprime4_JS,Aprime,JS-08,0,JuiceShop
